"filename", "language", "TypeScript", "CSS", "TypeScript React", "XML", "comment", "blank", "total"
"h:\work\_projects\react\volume-trainings\src\store\actions\schedule-actions.ts", "TypeScript", 158, 0, 0, 0, 24, 20, 202
"h:\work\_projects\react\volume-trainings\src\store\actions\users-actions.ts", "TypeScript", 13, 0, 0, 0, 0, 4, 17
"h:\work\_projects\react\volume-trainings\src\store\index.ts", "TypeScript", 3, 0, 0, 0, 4, 1, 8
"h:\work\_projects\react\volume-trainings\src\store\providers.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"h:\work\_projects\react\volume-trainings\src\store\reducers\app-options-reducer.ts", "TypeScript", 75, 0, 0, 0, 0, 9, 84
"h:\work\_projects\react\volume-trainings\src\store\reducers\index.ts", "TypeScript", 11, 0, 0, 0, 0, 3, 14
"h:\work\_projects\react\volume-trainings\src\store\reducers\reducers-utils.ts", "TypeScript", 13, 0, 0, 0, 0, 3, 16
"h:\work\_projects\react\volume-trainings\src\store\reducers\schedule-reducer.ts", "TypeScript", 496, 0, 0, 0, 18, 22, 536
"h:\work\_projects\react\volume-trainings\src\store\reducers\users-reducer.ts", "TypeScript", 29, 0, 0, 0, 0, 6, 35
"h:\work\_projects\react\volume-trainings\src\store\selectors.ts", "TypeScript", 43, 0, 0, 0, 6, 13, 62
"h:\work\_projects\react\volume-trainings\src\store\state.ts", "TypeScript", 16, 0, 0, 0, 4, 9, 29
"h:\work\_projects\react\volume-trainings\src\store\types\date-types.ts", "TypeScript", 6, 0, 0, 0, 0, 3, 9
"h:\work\_projects\react\volume-trainings\src\store\types\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"h:\work\_projects\react\volume-trainings\src\store\types\schedule-types.ts", "TypeScript", 64, 0, 0, 0, 0, 13, 77
"h:\work\_projects\react\volume-trainings\src\store\types\users-types.ts", "TypeScript", 29, 0, 0, 0, 0, 4, 33
"h:\work\_projects\react\volume-trainings\src\utils\calculate-stats.ts", "TypeScript", 80, 0, 0, 0, 2, 7, 89
"h:\work\_projects\react\volume-trainings\src\utils\create-schedule.ts", "TypeScript", 104, 0, 0, 0, 8, 14, 126
"h:\work\_projects\react\volume-trainings\src\utils\create-users.ts", "TypeScript", 14, 0, 0, 0, 1, 2, 17
"h:\work\_projects\react\volume-trainings\src\utils\css-utils.ts", "TypeScript", 17, 0, 0, 0, 0, 2, 19
"h:\work\_projects\react\volume-trainings\src\utils\date-utils.ts", "TypeScript", 142, 0, 0, 0, 0, 27, 169
"h:\work\_projects\react\volume-trainings\src\utils\generate-id.ts", "TypeScript", 34, 0, 0, 0, 9, 8, 51
"h:\work\_projects\react\volume-trainings\src\utils\schedule-utils.ts", "TypeScript", 62, 0, 0, 0, 15, 13, 90
"Total", "-", 1683, 1575, 1717, 36, 358, 641, 6010
